Site_Location,Size,Bath,Balcony,New_Total_Sqft,Price,area_type
Lulla Nagar,3 BHK,3,1,1670,108.9,Super built-up  Area
Mahatma Gandhi Road,3 BHK,3,2,2010,100.1,Built-up  Area
Mangalwar peth,2 BHK,2,2,1185,82.5,Super built-up  Area
Manik Bagh,3 BHK,2,3,1600,82.5,Super built-up  Area
Market yard,2 BHK,2,2,1200,48.4,Super built-up  Area
Model colony,4 Bedroom,2,2,3210,211.2,Built-up  Area
Mukund Nagar,2 BHK,2,2,1500,203.5,Super built-up  Area
Mundhawa,6 Bedroom,4,1,1407,165,Plot  Area
Nagar Road,2 BHK,2,2,840,49.5,Super built-up  Area
Nana Peth,3 Bedroom,3,2,4395,264,Plot  Area
Narayan Peth,2 BHK,2,1,845,60.5,Super built-up  Area
Narayangaon,4 Bedroom,5,3,5700,715,Plot  Area
Navi Peth,2 BHK,2,2,1160,48.4,Built-up  Area
Padmavati,8 Bedroom,8,0,3000,154,Built-up  Area
Parvati Darshan,2 BHK,2,1,1100,68.2,Super built-up  Area
Pashan,2 BHK,2,3,1140,47.3,Super built-up  Area
Paud Road,2 BHK,2,1,1220,62.7,Super built-up  Area
Pirangut,8 Bedroom,7,0,1350,93.5,Plot  Area
Prabhat Road,2 BHK,2,1,1005,40.348,Super built-up  Area
Pune Railway Station,3 Bedroom,3,2,500,110,Plot  Area
Rasta Peth,2 BHK,2,1,1358,88.638,Super built-up  Area
Raviwar Peth,3 BHK,3,1,1569,111.1,Super built-up  Area
Sadashiv Peth,2 BHK,2,1,1240,77,Super built-up  Area
Sahakar Nagar,3 BHK,3,2,2089,154,Super built-up  Area
Salunke Vihar,2 BHK,2,1,1206,53.053,Super built-up  Area
Sasson Road,2 BHK,2,3,1150,44,Super built-up  Area
Satara Road,3 BHK,3,3,2511,225.5,Built-up  Area
Senapati Bapat Road,2 BHK,1,0,460,24.2,Built-up  Area
Shaniwar Peth,6 Bedroom,6,3,4400,275,Built-up  Area
Shivaji Nagar,3 BHK,2,2,1660,115.5,Super built-up  Area
Shukrawar Peth,4 Bedroom,2,2,3203.5,246.95,Built-up  Area
Sinhagad Road,2 BHK,2,2,1326,85.8,Super built-up  Area
Somwar Peth,3 BHK,2,2,1325,66.88,Super built-up  Area
Swargate,3 BHK,5,2,1499,112.2,Super built-up  Area
Tilak Road,6 Bedroom,7,2,3000,231,Built-up  Area
Uruli Devachi,3 BHK,3,2,1665,96.8,Super built-up  Area
Vadgaon Budruk,2 BHK,2,2,708,40.7,Super built-up  Area
Wadgaon Sheri,2 BHK,2,2,1060,63.866,Super built-up  Area
Viman Nagar,6 Bedroom,6,3,710,176,Plot  Area
Vishrant Wadi,2 BHK,2,2,1000,77,Built-up  Area
Wagholi,2 BHK,2,1,1000,31.768,Super built-up  Area
Wakadewadi,3 BHK,2,2,1450,77,Super built-up  Area
Wanowrie,4 Bedroom,4,2,1200,170.5,Plot  Area
Warje,2 BHK,2,3,1296,88,Super built-up  Area
Yerawada,3 BHK,3,2,1540,99,Super built-up  Area
Alandi Road,4 Bedroom,4,1,2894,269.5,Plot  Area
Ambegaon Budruk,3 BHK,2,1,1330,52.8,Super built-up  Area
Anandnagar,2 BHK,2,1,1200,71.5,Built-up  Area
Aundh,3 Bedroom,3,1,1200,99,Built-up  Area
Aundh Road,3 BHK,3,3,2502,151.8,Super built-up  Area
Balaji Nagar,2 BHK,1,1,650,18.7,Built-up  Area
Baner,3 Bedroom,2,1,2400,165,Plot  Area
Baner road,2 BHK,2,2,1007,47.3,Super built-up  Area
Bhandarkar Road,2 BHK,2,2,1200,55,Super built-up  Area
Bhavani Peth,2 BHK,2,2,966,54.89,Super built-up  Area
Bibvewadi,3 BHK,2,1,1630,107.8,Built-up  Area
Bopodi,3 BHK,3,2,1640,251.9,Built-up  Area
Budhwar Peth,2 BHK,2,2,782,61.248,Built-up  Area
Bund Garden Road,2 BHK,2,2,1260,73.458,Super built-up  Area
Camp,3 BHK,3,3,1800,132,Super built-up  Area
Chandan Nagar,3 BHK,2,2,1413,82.5,Super built-up  Area
Dapodi,2 BHK,2,1,1116,57.101,Super built-up  Area
Deccan Gymkhana,3 BHK,2,1,1530,50.49,Super built-up  Area
Dehu Road,4 Bedroom,4,1,3700,247.5,Built-up  Area
Dhankawadi,3 Bedroom,3,2,2497,154,Built-up  Area
Dhayari Phata,3 BHK,2,3,1540,70.4,Super built-up  Area
Dhole Patil Road,3 BHK,3,1,1436,82.225,Super built-up  Area
Erandwane,2 BHK,2,2,1100,82.5,Super built-up  Area
Fatima Nagar,2 Bedroom,3,3,276,25.3,Plot  Area
Fergusson College Road,3 BHK,3,2,1427,132,Super built-up  Area
Ganesh Peth,3 BHK,3,1,2061,220,Super built-up  Area
Ganeshkhind,4 BHK,4,0,5611.5,524.7,Super built-up  Area
Ghorpade Peth,4 BHK,4,2,2650,165,Built-up  Area
Ghorpadi,3 BHK,2,2,1282,75.372,Super built-up  Area
Gokhale Nagar,2 BHK,2,1,1050,37.4,Built-up  Area
Gultekdi,3 BHK,3,2,1600,71.5,Built-up  Area
Guruwar peth,2 BHK,2,1,945,59.4,Super built-up  Area
Hadapsar,2 BHK,2,1,1500,85.8,Super built-up  Area
Hadapsar Industrial Estate,7 Bedroom,7,0,950,126.5,Plot  Area
Hingne Khurd,3 BHK,3,3,1870,121,Built-up  Area
Jangali Maharaj Road,3 Bedroom,3,1,1600,82.5,Plot  Area
Kalyani Nagar,2 BHK,1,1,880,18.15,Super built-up  Area
Karve Nagar,4 Bedroom,4,0,1200,231,Plot  Area
Karve Road,3 BHK,3,2,1535,91.3,Super built-up  Area
Kasba Peth,2 BHK,2,1,950,62.7,Built-up  Area
Katraj,2 BHK,2,1,1360,71.5,Super built-up  Area
Khadaki,2 BHK,2,0,1073.5,59.4055,Super built-up  Area
Khadki,3 BHK,3,1,1280,55.44,Super built-up  Area
Kharadi,3 BHK,2,2,1260,93.555,Super built-up  Area
Kondhwa,8 Bedroom,8,2,5000,275,Built-up  Area
Kondhwa Budruk,5 BHK,5,1,3050,234.3,Super built-up  Area
Kondhwa Khurd,3 BHK,3,1,1563.05,115.5,Super built-up  Area
Koregaon Park,2 BHK,2,1,1000,66,Super built-up  Area
Kothrud,2 BHK,2,1,1167,48.136,Super built-up  Area
Law College Road,7 BHK,7,2,4000,247.5,Super built-up  Area
Laxmi Road,3 BHK,3,2,1828,121,Super built-up  Area
Lulla Nagar,2 BHK,2,1,890,38.5,Super built-up  Area
Mahatma Gandhi Road,3 BHK,3,3,1612,51.414,Super built-up  Area
Mangalwar peth,6 Bedroom,5,2,1034,203.5,Plot  Area
Manik Bagh,3 BHK,4,2,1710,100.441,Super built-up  Area
Market yard,2 BHK,2,1,957,63.8,Super built-up  Area
Model colony,3 BHK,2,3,1250,48.4,Super built-up  Area
Mukund Nagar,3 BHK,4,2,2795,258.5,Super built-up  Area
Mundhawa,2 BHK,2,2,1125,55,Super built-up  Area
Nagar Road,2 BHK,2,1,1020,33.66,Super built-up  Area
Nana Peth,2 BHK,2,2,1200,55,Super built-up  Area
Narayan Peth,3 BHK,3,3,1735,148.5,Super built-up  Area
Narayangaon,3 BHK,3,1,2050,159.5,Super built-up  Area
Navi Peth,4 Bedroom,4,0,3750,836,Plot  Area
Padmavati,3 BHK,2,3,1350,52.8,Built-up  Area
Parvati Darshan,2 BHK,2,1,1063,35.2,Super built-up  Area
Pashan,3 BHK,3,1,1904,165,Super built-up  Area
Paud Road,4 Bedroom,4,2,4200,462,Built-up  Area
Pirangut,3 BHK,3,1,2000,192.5,Super built-up  Area
Prabhat Road,2 BHK,2,0,1242.5,47.839,Super built-up  Area
Pune Railway Station,3 BHK,2,2,1425,82.5,Super built-up  Area
Rasta Peth,3 BHK,2,1,1500,70.95,Super built-up  Area
Raviwar Peth,2 BHK,2,1,1060,66,Built-up  Area
Sadashiv Peth,3 BHK,2,2,1470,77,Built-up  Area
Sahakar Nagar,6 BHK,6,0,1300,108.9,Super built-up  Area
Salunke Vihar,1 BHK,1,1,450,12.1,Super built-up  Area
Sasson Road,2 BHK,2,1,1152,70.95,Super built-up  Area
Satara Road,3 BHK,2,1,1350,61.6,Super built-up  Area
Senapati Bapat Road,3 BHK,3,3,1550,71.5,Super built-up  Area
Shaniwar Peth,3 Bedroom,3,2,1500,110,Plot  Area
Shivaji Nagar,5 Bedroom,3,2,600,93.5,Plot  Area
Shukrawar Peth,1 Bedroom,1,0,400,15.4,Plot  Area
Sinhagad Road,1 BHK,1,2,705,73.7,Super built-up  Area
Somwar Peth,2 BHK,1,1,770,39.6,Built-up  Area
Swargate,2 BHK,2,3,1242,56.1,Super built-up  Area
Tilak Road,3 BHK,3,2,1700,170.5,Super built-up  Area
Uruli Devachi,3 BHK,3,2,2144,159.5,Super built-up  Area
Vadgaon Budruk,3 BHK,3,2,1704,121,Super built-up  Area
Wadgaon Sheri,2 BHK,2,1,1070,57.2,Super built-up  Area
Viman Nagar,3 Bedroom,3,2,1846,330,Plot  Area
Vishrant Wadi,2 BHK,2,2,1340,61.27,Super built-up  Area
Wagholi,2 BHK,2,1,1025,50.6,Built-up  Area
Wakadewadi,2 BHK,2,0,1277.5,62.48,Super built-up  Area
Wanowrie,2 BHK,2,2,1200,57.2,Super built-up  Area
Warje,4 Bedroom,4,1,2250,121,Built-up  Area
Yerawada,3 BHK,2,3,1550,88,Super built-up  Area
Alandi Road,4 Bedroom,5,2,1200,357.5,Plot  Area
Ambegaon Budruk,7 Bedroom,7,1,1800,275,Plot  Area
Anandnagar,2 BHK,2,2,1200,66,Super built-up  Area
Aundh,2 BHK,2,2,1327,107.8,Super built-up  Area
Aundh Road,2 BHK,2,2,1186,63.8,Super built-up  Area
Balaji Nagar,3 Bedroom,3,1,1783,126.5,Built-up  Area
Baner,3 BHK,3,2,1400,61.6,Super built-up  Area
Baner road,2 BHK,2,1,980,52.8,Super built-up  Area
Bhandarkar Road,2 BHK,2,2,1285,90.2,Super built-up  Area
Bhavani Peth,3 BHK,2,1,912,77,Super built-up  Area
Bibvewadi,2 BHK,2,2,1225,52.36,Built-up  Area
Bopodi,2 BHK,2,1,1075,58.3,Super built-up  Area
Budhwar Peth,3 BHK,2,2,1260,59.4,Built-up  Area
Bund Garden Road,3 BHK,2,2,1282,53.57,Super built-up  Area
Camp,3 BHK,3,2,1909,96.8,Super built-up  Area
Chandan Nagar,2 BHK,2,1,1359,95.7,Super built-up  Area
Dapodi,2 BHK,2,2,1207,47.85,Built-up  Area
Deccan Gymkhana,4 Bedroom,6,0,1736,209,Plot  Area
Dehu Road,4 BHK,4,1,2850,470.8,Super built-up  Area
Dhankawadi,3 BHK,3,2,1595,71.5,Super built-up  Area
Dhayari Phata,3 BHK,3,2,1798,97.9,Built-up  Area
Dhole Patil Road,3 BHK,3,2,1475,86.119,Super built-up  Area
Erandwane,3 BHK,3,3,1580,110,Super built-up  Area
Fatima Nagar,2 BHK,2,1,1295,71.5,Super built-up  Area
Fergusson College Road,6 Bedroom,6,0,3600,155.1,Built-up  Area
Ganesh Peth,1 BHK,1,1,589,29.7,Super built-up  Area
Ganeshkhind,3 BHK,3,3,1415,85.8,Super built-up  Area
Ghorpade Peth,3 BHK,3,2,1787,108.119,Super built-up  Area
Ghorpadi,3 BHK,3,2,1787,137.5,Super built-up  Area
Gokhale Nagar,3 BHK,2,3,1475,99,Super built-up  Area
Gultekdi,4 BHK,4,1,2000,83.05,Built-up  Area
Guruwar peth,2 BHK,2,1,984,48.708,Super built-up  Area
Hadapsar,3 BHK,2,2,1630,82.302,Super built-up  Area
Hadapsar Industrial Estate,3 BHK,4,2,2405,286,Super built-up  Area
Hingne Khurd,2 BHK,2,2,1080,79.2,Built-up  Area
Jangali Maharaj Road,2 Bedroom,2,1,1500,126.5,Plot  Area
Kalyani Nagar,3 BHK,3,2,1900,130.9,Super built-up  Area
Karve Nagar,2 BHK,2,1,805,24.354,Super built-up  Area
Karve Road,2 BHK,2,2,1153,62.04,Super built-up  Area
Kasba Peth,2 BHK,2,2,1148,66,Super built-up  Area
Katraj,2 BHK,2,2,1110,60.5,Super built-up  Area
Khadaki,2 BHK,2,2,1100,46.2,Built-up  Area
Khadki,2 BHK,2,2,1290,121,Super built-up  Area
Kharadi,3 BHK,2,1,1500,71.5,Super built-up  Area
Kondhwa,2 BHK,2,2,1080,42.9,Super built-up  Area
Kondhwa Budruk,3 BHK,3,1,1933,141.9,Super built-up  Area
Kondhwa Khurd,5 Bedroom,5,2,3500,165,Built-up  Area
Koregaon Park,2 BHK,2,2,1060,66,Built-up  Area
Kothrud,1 BHK,1,1,645,18.095,Super built-up  Area
Law College Road,8 Bedroom,8,2,2600,198,Plot  Area
Laxmi Road,1 BHK,1,1,645,18.095,Super built-up  Area
Lulla Nagar,3 BHK,3,3,1644,92.4,Super built-up  Area
Mahatma Gandhi Road,2 BHK,2,3,1285,79.75,Super built-up  Area
Mangalwar peth,3 Bedroom,3,1,1200,99,Plot  Area
Manik Bagh,2 BHK,2,1,910,44,Super built-up  Area
Market yard,3 BHK,3,1,1577,77,Super built-up  Area
Model colony,3 Bedroom,3,2,4050,308,Plot  Area
Mukund Nagar,3 BHK,3,2,2420,203.5,Super built-up  Area
Mundhawa,2 BHK,1,1,800,22,Super built-up  Area
Nagar Road,2 BHK,2,2,1060,60.5,Built-up  Area
Nana Peth,2 BHK,2,2,1270,102.3,Super built-up  Area
Narayan Peth,2 BHK,2,2,900,24.75,Super built-up  Area
Narayangaon,2 Bedroom,2,1,1280,75.9,Built-up  Area
Navi Peth,4 Bedroom,2,0,1200,104.5,Plot  Area
Padmavati,2 BHK,2,2,1025,39.6,Built-up  Area
Parvati Darshan,2 BHK,2,1,1108,69.3,Super built-up  Area
Pashan,5 Bedroom,5,2,1200,187,Plot  Area
Paud Road,3 BHK,3,2,3045,187,Super built-up  Area
Pirangut,4 Bedroom,3,2,2900,330,Plot  Area
Prabhat Road,3 BHK,3,2,1500,83.05,Super built-up  Area
Pune Railway Station,2 BHK,2,2,1295,48.29,Super built-up  Area
Rasta Peth,2 BHK,2,1,1162,65.89,Super built-up  Area
Raviwar Peth,2 BHK,2,2,1035,54.12,Super built-up  Area
Sadashiv Peth,4 Bedroom,4,0,1600,58.08,Built-up  Area
Sahakar Nagar,3 BHK,3,2,1464,50.6,Super built-up  Area
Salunke Vihar,3 BHK,2,2,1866,67.738,Super built-up  Area
Sasson Road,2 BHK,1,1,700,28.6,Super built-up  Area
Satara Road,3 BHK,3,2,1804,132,Super built-up  Area
Senapati Bapat Road,2 BHK,2,1,913,35.2,Super built-up  Area
Shaniwar Peth,3 BHK,3,2,1868,144.1,Super built-up  Area
Shivaji Nagar,2 BHK,2,1,883,49.5,Built-up  Area
Shukrawar Peth,2 Bedroom,2,1,900,121,Plot  Area
Sinhagad Road,3 BHK,2,3,1664,81.345,Super built-up  Area
Somwar Peth,3 BHK,3,2,2026,145.2,Super built-up  Area
Swargate,2 BHK,2,1,1210,88.99,Super built-up  Area
Tilak Road,4 Bedroom,4,2,4111,275,Plot  Area
Uruli Devachi,3 BHK,3,3,1762,100.595,Super built-up  Area
Vadgaon Budruk,3 BHK,3,3,1252,60.5,Super built-up  Area
Wadgaon Sheri,2 BHK,2,1,861,37.95,Built-up  Area
Viman Nagar,3 BHK,2,1,1420,110,Built-up  Area
Vishrant Wadi,6 Bedroom,6,0,1450,275,Plot  Area
Wagholi,3 BHK,3,1,1490,86.68,Built-up  Area
Wakadewadi,3 BHK,2,1,1075,50.6,Super built-up  Area
Wanowrie,3 BHK,2,2,1425,103.4,Super built-up  Area
Warje,2 BHK,2,1,1200,44,Built-up  Area
Yerawada,3 BHK,2,2,1280,61.6,Super built-up  Area
Alandi Road,2 BHK,2,2,1084,55,Super built-up  Area
Ambegaon Budruk,2 BHK,2,2,1015,28.468,Super built-up  Area
Anandnagar,2 BHK,2,1,1017,56.375,Super built-up  Area
Aundh,2 BHK,2,2,1027,48.4,Super built-up  Area
Aundh Road,2 BHK,2,2,1069,49.5,Super built-up  Area
Balaji Nagar,2 BHK,2,1,1349,108.02,Super built-up  Area
Baner,2 BHK,2,1,1005,55,Super built-up  Area
Baner road,2 BHK,2,3,1417,82.5,Super built-up  Area
Bhandarkar Road,3 Bedroom,3,1,1475,107.8,Plot  Area
Bhavani Peth,2 BHK,2,2,950,51.7,Carpet  Area
Bibvewadi,4 BHK,4,0,2000,132,Super built-up  Area
Bopodi,3 Bedroom,3,1,880,154,Plot  Area
Budhwar Peth,4 BHK,3,2,1863,114.4,Super built-up  Area
Bund Garden Road,2 BHK,2,1,1010,32.45,Super built-up  Area
Camp,3 BHK,2,1,1425,77,Super built-up  Area
Chandan Nagar,3 BHK,3,0,1450,110,Super built-up  Area
Dapodi,3 BHK,3,2,1847,115.5,Super built-up  Area
Deccan Gymkhana,2 BHK,2,3,1100,49.5,Super built-up  Area
Dehu Road,1 BHK,1,1,525,28.6,Super built-up  Area
Dhankawadi,3 BHK,3,2,1665,104.5,Super built-up  Area
Dhayari Phata,4 BHK,4,3,1664,71.5,Super built-up  Area
Dhole Patil Road,3 BHK,3,3,1850,165,Super built-up  Area
Erandwane,2 BHK,2,3,1438,110,Super built-up  Area
Fatima Nagar,3 BHK,3,3,1560,126.5,Super built-up  Area
Fergusson College Road,2 BHK,2,1,1350,61.105,Super built-up  Area
Ganesh Peth,3 BHK,3,3,1550,73.7,Super built-up  Area
Ganeshkhind,2 BHK,2,2,1140,51.15,Super built-up  Area
Ghorpade Peth,5 Bedroom,5,2,1200,198,Plot  Area
Ghorpadi,2 BHK,2,2,850,29.7,Super built-up  Area
Gokhale Nagar,2 BHK,2,2,1280,82.5,Super built-up  Area
Gultekdi,2 BHK,2,2,1170,57.2,Built-up  Area
Guruwar peth,2 BHK,2,1,1113,56.1,Super built-up  Area
Hadapsar,2 BHK,2,1,1385,91.399,Super built-up  Area
Hadapsar Industrial Estate,2 BHK,2,1,1128,71.5,Super built-up  Area
Hingne Khurd,2 Bedroom,2,2,1200,140.8,Plot  Area
Jangali Maharaj Road,4 Bedroom,4,3,1200,181.5,Plot  Area
Kalyani Nagar,3 BHK,3,2,2390,456.5,Super built-up  Area
Karve Nagar,4 Bedroom,4,1,2400,440,Plot  Area
Karve Road,3 BHK,3,2,1464,61.6,Super built-up  Area
Kasba Peth,2 BHK,2,2,1200,60.5,Super built-up  Area
Katraj,2 BHK,2,2,1200,57.2,Super built-up  Area
Khadaki,3 BHK,2,1,1150,60.5,Super built-up  Area
Khadki,3 BHK,3,2,1645,104.5,Built-up  Area
Kharadi,2 BHK,2,1,1000,73.7,Super built-up  Area
Kondhwa,4 Bedroom,4,2,2650,217.8,Plot  Area
Kondhwa Budruk,2 BHK,2,2,1192,81.4,Super built-up  Area
Kondhwa Khurd,3 BHK,3,2,2135,236.5,Super built-up  Area
Koregaon Park,2 BHK,2,1,1173,63.8,Super built-up  Area
Kothrud,2 BHK,2,2,1020,49.5,Built-up  Area
Law College Road,4 BHK,6,2,3122,253,Super built-up  Area
Laxmi Road,3 BHK,3,3,1600,70.4,Super built-up  Area
Lulla Nagar,2 Bedroom,2,0,1200,86.9,Plot  Area
Mahatma Gandhi Road,2 BHK,2,3,1230,52.8,Carpet  Area
Mangalwar peth,2 BHK,2,2,1250,44,Super built-up  Area
Manik Bagh,2 BHK,2,2,1325,83.6,Super built-up  Area
Market yard,3 BHK,3,1,1850,165,Built-up  Area
Model colony,1 BHK,2,2,525,23.683,Super built-up  Area
Mukund Nagar,2 BHK,2,2,1200,71.5,Super built-up  Area
Mundhawa,3 Bedroom,2,0,1350,154,Plot  Area
Nagar Road,3 BHK,3,1,1260,54.296,Super built-up  Area
Nana Peth,3 BHK,3,0,1800,165,Super built-up  Area
Narayan Peth,3 Bedroom,3,2,11,81.4,Plot  Area
Narayangaon,2 BHK,2,1,1100,47.575,Built-up  Area
Navi Peth,2 BHK,2,1,1508,84.7,Super built-up  Area
Padmavati,3 BHK,3,2,1592,82.5,Carpet  Area
Parvati Darshan,2 BHK,2,3,1388,62.7,Super built-up  Area
Pashan,1 BHK,1,1,630,31.185,Super built-up  Area
Paud Road,3 Bedroom,3,2,2000,401.5,Plot  Area
Pirangut,3 BHK,3,1,1762,137.5,Super built-up  Area
Prabhat Road,2 BHK,2,2,950,55,Super built-up  Area
Pune Railway Station,4 BHK,5,3,3252,368.5,Super built-up  Area
Rasta Peth,2 BHK,2,1,1116,55,Super built-up  Area
Raviwar Peth,2 BHK,2,2,1308,97.944,Super built-up  Area
Sadashiv Peth,3 BHK,3,0,1200,99,Super built-up  Area
Sahakar Nagar,4 Bedroom,4,2,1500,253,Plot  Area
Salunke Vihar,1 BHK,1,1,500,20.35,Built-up  Area
Sasson Road,2 BHK,2,1,1075,57.2,Super built-up  Area
Satara Road,1 BHK,1,0,530,12.826,Super built-up  Area
Senapati Bapat Road,2 BHK,2,3,1205,72.6,Built-up  Area
Shaniwar Peth,2 BHK,2,2,1075,66,Super built-up  Area
Shivaji Nagar,2 BHK,2,2,930,42.9,Built-up  Area
Shukrawar Peth,2 BHK,2,1,1380,66,Super built-up  Area
Sinhagad Road,4 BHK,5,2,2483,233.2,Super built-up  Area
Somwar Peth,2 BHK,2,2,1166,60.5,Built-up  Area
Swargate,2 BHK,2,1,1050,71.5,Super built-up  Area
Tilak Road,3 BHK,3,2,2023.71,302.5,Super built-up  Area
Uruli Devachi,2 BHK,2,2,1200,51.48,Super built-up  Area
Vadgaon Budruk,3 BHK,2,1,1600,118.8,Super built-up  Area
Wadgaon Sheri,3 BHK,3,2,1935,121,Super built-up  Area
Viman Nagar,1 BHK,1,0,451,32.89,Super built-up  Area
Vishrant Wadi,3 BHK,3,2,1800,104.5,Super built-up  Area
Wagholi,3 BHK,3,0,1400,84.7,Super built-up  Area
Wakadewadi,3 BHK,3,2,1801,126.5,Super built-up  Area
Wanowrie,2 BHK,2,2,1451,99,Built-up  Area
Warje,2 Bedroom,1,1,1200,39.6,Plot  Area
Yerawada,2 BHK,2,2,1160,48.4,Super built-up  Area
Alandi Road,2 BHK,2,1,1000,27.5,Built-up  Area
Ambegaon Budruk,2 BHK,2,1,950,44,Super built-up  Area
Anandnagar,3 BHK,3,2,1629,86.9,Built-up  Area
Aundh,3 BHK,2,0,1580,147.4,Built-up  Area
Aundh Road,3 BHK,3,2,1826,133.1,Super built-up  Area
Balaji Nagar,2 BHK,2,1,1245,103.4,Built-up  Area
Baner,2 BHK,2,2,1145,50.369,Super built-up  Area
Baner road,2 BHK,2,1,825,36.3,Super built-up  Area
Bhandarkar Road,3 BHK,3,3,1693,118.8,Super built-up  Area
Bhavani Peth,2 BHK,2,2,1113.27,58.3,Super built-up  Area
Bibvewadi,2 BHK,2,1,1460,63.8,Built-up  Area
Bopodi,2 BHK,2,1,1050,35.2,Built-up  Area
Budhwar Peth,2 BHK,2,2,1260,60.5,Built-up  Area
Bund Garden Road,6 BHK,3,2,700,132,Super built-up  Area
Camp,2 BHK,2,1,1656,132,Built-up  Area
Chandan Nagar,3 BHK,3,1,1208,49.5,Super built-up  Area
Dapodi,3 BHK,3,2,1910,177.1,Super built-up  Area
Deccan Gymkhana,4 BHK,4,1,3252,253,Super built-up  Area
Dehu Road,2 Bedroom,2,1,1200,71.5,Plot  Area
Dhankawadi,4 BHK,4,1,1200,192.5,Super built-up  Area
Dhayari Phata,2 BHK,2,1,1175,90.2,Super built-up  Area
Dhole Patil Road,2 Bedroom,2,0,1000,181.5,Plot  Area
Erandwane,4 Bedroom,2,0,1200,137.5,Plot  Area
Fatima Nagar,3 BHK,3,2,2390,451,Super built-up  Area
Fergusson College Road,7 BHK,6,3,12000,2420,Super built-up  Area
Ganesh Peth,2 Bedroom,1,1,550,68.2,Plot  Area
Ganeshkhind,1 BHK,1,0,1276,20.35,Super built-up  Area
Ghorpade Peth,2 BHK,2,2,1185,41.8,Super built-up  Area
Ghorpadi,2 BHK,2,1,750,41.8,Super built-up  Area
Gokhale Nagar,6 Bedroom,7,3,1200,275,Plot  Area
Gultekdi,3 BHK,3,3,1550,70.95,Super built-up  Area
Guruwar peth,3 BHK,3,2,1760,96.8,Built-up  Area
Hadapsar,2 BHK,2,2,1125,68.2,Super built-up  Area
Hadapsar Industrial Estate,3 Bedroom,3,2,1350,165,Plot  Area
